submission timestamp,customer name,customer email address,description,open/closed status,closed timestamp,paid,s_week,c_week
1/1/2016|12:00:00 AM,Ivan Chou,IvanChou@yahoo.com,Issue with the server,Closed,1/4/2016 12:43:12 AM|10:48:00 AM,2121,1,2
1/1/2016 5:31:12 AM|10:48:00 AM,Lyudmil Petrov,LyudmilPetrov@email.com,Issue with the web page,Closed,1/4/2016 3:36:00 AM|4:19:12 PM,1233,1,2
1/1/2016 8:24:00 AM|4:19:12 PM,Take Bill,TakeBill@gmail.com,issue with transaction fee,Closed,1/4/2016 9:07:12 AM|11:02:24 AM,32321,1,2
1/1/2016 1:55:12 PM|11:02:24 AM,Zdrasti Prrasti,ZdrastiPrrasti@yahoo.com,Issue with the server,Closed,1/4/2016 12:00:00 PM|3:07:12 AM,333,1,2
1/1/2016 4:48:00 PM|3:07:12 AM,Chocho Discoto,ChochoDiscoto@email.com,Issue with the web page,Closed,1/4/2016 5:31:12 PM|1:55:12 PM,323,1,2
1/1/2016 10:19:12 PM|1:55:12 PM,Bebcho K,BebchoK@gmail.com,Issue with the router,Closed,1/4/2016 8:24:00 PM|7:26:24 PM,456,1,2
1/2/2016 1:12:00 AM|7:26:24 PM,Choli Poli,CholiPoli@yahoo.com,Issue with the server,Closed,1/5/2016 1:55:12 AM|2:09:36 PM,8756,1,2
1/2/2016 6:43:12 AM|2:09:36 PM,Dear Beer,DearBeer@email.com,issue with transaction fee,Open,1/5/2016 4:48:00 AM|6:14:24 AM,,1,2
1/2/2016 9:36:00 AM|6:14:24 AM,Free Money,FreeMoney@gmail.com,Issue with the server,Closed,1/5/2016 10:19:12 AM|5:02:24 PM,432,1,2
1/2/2016 3:07:12 PM|5:02:24 PM,John Peper,JohnPeper@yahoo.com,Issue with the web page,Closed,1/5/2016 1:12:00 PM|10:33:36 PM,458,1,2
1/2/2016 6:00:00 PM|10:33:36 PM,Ivan Chou,IvanChou@email.com,Issue with the web page,Closed,1/5/2016 6:43:12 PM|5:16:48 PM,324,1,2
1/2/2016 11:31:12 PM|5:16:48 PM,Lyudmil Petrov,LyudmilPetrov@gmail.com,issue with transaction fee,Closed,1/5/2016 9:36:00 PM|9:21:36 AM,156,1,2
1/3/2016 2:24:00 AM|9:21:36 AM,Take Bill,TakeBill@yahoo.com,Issue with the server,Closed,1/6/2016 3:07:12 AM|8:09:36 PM,2121,1,2
1/3/2016 7:55:12 AM|8:09:36 PM,Zdrasti Prrasti,ZdrastiPrrasti@email.com,Issue with the web page,Closed,1/6/2016 6:00:00 AM|1:40:48 AM,1233,1,2
